UserId,AverageKeyDownTime,AverageBreakTime,AverageKeyUpSpaceDownTime,AverageSpaceUpKeyDownTime
176,80,149,95,14
177,73,592,424,49
179,70,197,150,10
197,97,183,197,23
180,124,398,465,6
178,76,254,224,26
181,108,148,166,11
182,103,330,180,19
185,79,173,74,16
184,94,246,144,35
188,125,172,59,7
187,117,122,78,14
186,105,257,186,30
189,93,202,155,22
191,117,151,84,6
190,98,267,144,26
193,121,231,239,21
194,119,240,216,65
195,110,254,110,18
196,85,199,133,12
198,91,192,47,2
201,106,147,314,34
202,111,147,131,167
200,81,255,280,24
211,92,178,61,16
210,87,215,146,33
208,78,310,180,34
206,108,421,209,281
199,92,284,372,46
212,101,217,0,0
209,121,238,77,77
207,131,160,138,13
204,96,182,158,14
221,106,156,80,26
214,109,397,326,11
215,79,154,143,9
218,96,142,76,15
213,79,236,346,60
219,108,257,468,13
216,68,177,88,26
222,82,183,134,117
220,102,268,147,53
217,118,249,319,15
223,104,223,584,19
224,104,131,134,20
225,97,147,107,6
226,90,272,273,24
227,116,166,117,6
229,74,313,264,48
230,73,315,363,33
231,92,175,172,13
232,119,243,456,154
233,289,88,0,0
234,107,354,373,28
235,96,235,142,23
236,120,228,168,20
205,116,152,98,20
237,65,304,671,120
238,92,251,221,13
239,112,225,145,30
241,136,187,106,2
243,133,361,538,94
244,134,292,127,5
245,104,328,369,70
246,94,284,428,4
